,customerid,Country,State,LGA
0,8a858e135cb22031015cbafc76964ebd,Nigeria,Lagos,Oshodi-Isolo
1,8a858e275c7ea5ec015c82482d7c3996,Nigeria,Ogun,Abeokuta South
2,8a858e5b5bd99460015bdc95cd485634,Nigeria,Delta,Uvwie
3,8a858efd5ca70688015cabd1f1e94b55,Nigeria,Lagos,Ikeja
4,8a858e785acd3412015acd48f4920d04,Nigeria,Kano,Ungogo
5,8a858f045bc9690c015bca251e9a4e95,Nigeria,Lagos,Oshodi-Isolo
6,8a858ea05a859123015a8892914d15b7,Nigeria,Lagos,Ikeja
7,8a858f275c451af5015c546a50ce55ed,Nigeria,Osun,Ilesha East
8,8a858f405d13c45f015d13dd93ec0c1c,Nigeria,Lagos,Alimosho
9,8a858f735c161bda015c164d86632026,Nigeria,Lagos,Surulere
10,8a858f2a5ce989dd015ce9fc24b1474b,Nigeria,Ogun,Abeokuta South
11,8a858f3a5c10828d015c109746d20aee,Nigeria,Delta,Uvwie
12,8a858fb4563228d201564fd7519f22a8,Nigeria,Lagos,Kosofe
13,8a858e9d59e0997b0159eae2e4fa7611,Nigeria,Lagos,Lagos Mainland
14,8a858f955a61ad4e015a69ee1edd0d3d,Nigeria,Lagos,Mushin
15,8a858ff25a6a19ee015a6abff5ed659c,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
16,8a858e6c5c88d145015c894de1a91c5c,Nigeria,Ogun,Abeokuta South
17,8a858eb45876dcc501587dae11f2283e,Nigeria,Rivers,Obio/Akpor
18,8a858f2f54e28d530154ecdd303004fa,Nigeria,Lagos,Eti-Osa
19,8a858fef570f30e501571fd446d44c81,Nigeria,Osun,Ife Central
20,8a858f6c570f2d660157238b0c4a1bdd,Nigeria,Imo,Orlu
21,8a85893d542e18bc01542e37365c120a,Nigeria,Ogun,Abeokuta South
22,8a8588f35438fe12015444567666018e,Nigeria,Gombe,Gombe
23,8a858f275c451af5015c49a2c43b5fb2,Nigeria,Ogun,Ifo
24,8a858e045cd5b1d6015cd9c070a212a5,Nigeria,Nassarawa,Keffi
25,8a858e2155defefd0155e12953ee00a1,Nigeria,Akwa Ibom,Ibeno
26,8a858e4b5a7f868b015a80f3822d505b,Nigeria,Lagos,Lagos Mainland
27,8a858f0056b7cf8e0156bbeefc4933cc,Nigeria,Lagos,Oshodi-Isolo
28,8a858f0e5a6171ba015a648137c361bc,Nigeria,Lagos,Kosofe
29,8a858f125c5f88b1015c603d2810428c,Nigeria,Rivers,Obio/Akpor
30,8a858ee75a6156c0015a635f394a5f79,Nigeria,Oyo,Lagelu
31,8a858eed5af07cc4015af10da7565173,Nigeria,Lagos,Mushin
32,8a858f445d41ebbe015d50c105334acc,Nigeria,Lagos,Alimosho
33,8a858f285d3ca5c4015d3cbb1f94073a,Nigeria,Rivers,Port-Harcourt
34,8a858f225bfdb280015c108bf6f53281,Nigeria,Lagos,Oshodi-Isolo
35,8a858f6c5cac8f53015cafeb15141be1,Nigeria,Lagos,Ikeja
36,8a858f675c1c43bc015c2049f2d20224,Nigeria,Lagos,Eti-Osa
37,8a858f7e564ad338015654d3a5c242a5,Nigeria,Nassarawa,Wamba
38,8a858e165b90faf9015b9a873738471e,Nigeria,Oyo,Egbeda
39,8a858ea4582fcdc80158338316a258e3,Nigeria,Ondo,Akure South
40,8a858f3c5c16cadb015c177e274650b9,Nigeria,Delta,Uvwie
41,8a858f2b5bf35819015bf3cc59193622,Nigeria,Oyo,Ido
42,8a858ec555f82a230155f92ff37d0b31,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
43,8a858f255cb1710a015cb56393f60d1b,Nigeria,Lagos,Ikeja
44,8a858f6f5b3f095b015b4083532532a0,Nigeria,Lagos,Ikorodu
45,8a858fa257d8223c0157e7e6ce253dd8,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
46,8a858f335cd0c78e015cd435d7192800,Nigeria,Ogun,Ado-Odo/Ota
47,8a858953548fb0c001549b31ac5f6dda,Nigeria,Lagos,Shomolu
48,8a858eba5b681df4015b7b63e6ed6a23,Nigeria,Lagos,Eti-Osa
49,8a858f8e5986f510015987965aa9183a,Nigeria,Lagos,Ikeja
50,8a858ee55cb156e6015cb650b14467f0,Nigeria,Edo,Egor
51,8a858f9157f7b9670157fa9d4e7546e0,Nigeria,Abia,Obi Ngwa
52,8a85883353d0c4e90153dfca251168bc,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
53,8a858fa55acd8061015ad15eb8b47940,Nigeria,Cross River,Calabar-Municipal
54,8a8589a053acc39e0153b217f3d031cb,Nigeria,Federal Capital Territory,Bwari
55,8a858e2e5bb57a37015bbe3c1af53cac,Nigeria,Oyo,Iseyin
56,8a8588c9548a33b201548b3cdb0f0c53,United States,California,
57,8a858e345bd96da8015bdcde39b37570,Nigeria,Edo,Oredo
58,8a858e0f5c45466f015c4a6560255de7,Nigeria,Lagos,Ajeromi-Ifelodun
59,8a858fe758dc437a0158e524adb32ae2,Nigeria,Federal Capital Territory,Abuja Municipal Area Council (AMAC)
60,8a858e185b4923b4015b4ae48d28646a,Nigeria,Lagos,Kosofe
61,8a858f725be8d4ff015bec5207ce5524,Nigeria,Ogun,Abeokuta South
62,8a858e2c5cc64f70015cc942825e71ae,Nigeria,Lagos,Kosofe
63,8a858fbd5cd6054a015cda2ad0aa086d,Nigeria,Abia,Osisioma Ngwa
64,8a858fba5cd5feee015cdb7d7d574f0f,Nigeria,Niger,Chanchaga
65,8a858fd85b685607015b75c2390b7173,Nigeria,Lagos,Oshodi-Isolo
66,8a858fe8555f401f0155679de3f04eb4,Nigeria,Oyo,Ibadan North
67,8a8589b953bc23f70153c887b4b45c9a,Nigeria,Ogun,Ifo
68,8a858e935b496584015b496cdac50369,Nigeria,Lagos,Kosofe
69,8a858e1d5b2510b2015b2c76fe45726a,Nigeria,Taraba,Yorro
70,8a76e7d443e6e97c0143ed0a1f4d5331,Nigeria,Lagos,Lagos Island
71,8a8588bd5369b66d01536e7b60501609,Nigeria,Lagos,Eti-Osa
72,8a858f985b3db23f015b3ddf9cd73ed5,Nigeria,Lagos,Oshodi-Isolo
73,8a858eae5c356262015c35894b181c1b,Nigeria,Kaduna,Kaduna North
74,8a858e6d5b252065015b2fa1ee3843da,Nigeria,Lagos,Kosofe
75,8a858f6e5a951fc2015a9e8c2e4f4436,Nigeria,Lagos,Alimosho
76,8a858e2d5bc95851015bc98eb8fc1575,Nigeria,Lagos,Kosofe
